,original_title,doc
28,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams  hoping that they slow his aging process Where happily ever after is just a dream Adventure Drama Fantasy Mystery Sci-Ficlone,dream,island,brain,eye,dystopia,aging,friendship,rescue,children,girl,childhood,child_kidnapping,fleaJean-Pierre_Jeunet,Marc_Caro,Ron_Perlman,Dominique_Pinon,Judith_Vittet,Daniel_Emilfork,Jean-Claude_Dreyfus,Geneviève_Brunet,Odile_Mallet,Mireille_Mossé,Serge_Merlin,Rufus,Ticky_Holgado,Cris_Huerta,Jean-Louis_Trintignant,Joseph_Lucien,Mapi_Galán,Briac_Barthélémy,Pierre-Quentin_Faesch,Alexis_Pivot,François_Hadji-Lazaro,Dominique_Bettenfeld,Lotfi_Yahya_Jedidi,Thierry_Gibault,Marc_Caro,Ham-Chau_Luong,Frankie_Pain,Enrique_Villanueva,Dominique_Chevalier,Lorella_Cravotta,Éric_Houzelot,Philippe_Beautier,Marc_Amyot,Jean-Philippe_Labadie,Raphaèle_Bouchard,Elisabeth_Etienne,Rachel_Boulenger,Michel_Motu,Nane_Germon,Léo_Rubion,Guillaume_Billod-Morel,Bezak,Hong_Mai_Thomas,René_Pivot,Daniel_Adric,Christophe_Salengro,René_Marquant,Michel_Smolianoff,Lili_Cognard,Angélique_Philibert,Marie_Piémontèse,Antoinette_Dias,Zak_Russomanno,Djamila_Bouda,Lauren_Geoffroy,Cyril_Aubin,Bruno_Journée,Jérémie_Freund,Joris_Geneste,Julie_Bernard,Valentin_Simonet,Eglantine_Blanckaert,Gaëtan_Bouyala,Mickael_Bussinger,Jonathan_Gatinois,Joshka_Kaufmann,Morgan_Mariac,Caroline_Marsily,Geoffroy_Morange,Sébastien_Thaissart,Charlotte_Bienfait,Camille_Dufeu,Robinson_Fouille,Alysia_Hoffeurt,Sandy_Kontargyris,Andrew_Laupen,Théo_Madueno,Arthur_Mazet,Fackry_M'Saidie,Gabriel_Pierre,Bérangère_Pivot,Charlotte_Ribaud-Chevrey,Laura_Robert,Caroline_Rochand,Carolane_Yvan,Margot_Tostivint,Buster_Verbraeken,Mathieu_Kassovitz"
29,摇啊摇，摇到外婆桥,"Shanghai  China     When young Shuisheng arrives from the countryside  his uncle Liushu puts him at the service of Bijou  the mistress of Laoda  supreme boss of the Tang Triad  constantly threatened by his enemies  both those he knows and those lurking in the shadows In    Shanghai violence was not the problem  It was the solution Crime Dramashanghai,_china,chinese_mafia,coming_of_age,mistress,criminal_underworld,drug_lord,triad,modern_china,nightclub_singer,1930s,cabaret_singer,chinese_triadZhang_Yimou,Gong_Li,Li_Baotian,Sun_Chun,Wang_Xiaoxiao,Li_Xuejian,Liu_Jiang,Fu_Biao,Shu_Chen,Jiang_Baoying,Yang_Qianquan"
30,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner city high school  After having a terrible first day  she decides she must throw decorum to the wind  When Johnson returns to the classroom  she does so armed with a no nonsense attitude informed by her military training and a fearless determination to better the lives of her students    no matter what the cost She broke the rules    and changed their lives Dramacalifornia,rap_music,karate,high_school,naval_officer,teacher,based_on_memoir_or_autobiography,amusement_park,schoolteacherJohn_N._Smith,Michelle_Pfeiffer,George_Dzundza,Courtney_B._Vance,Robin_Bartlett,John_Neville,Lorraine_Toussaint,Renoly_Santiago,Skye_Bassett,Beatrice_Winde,Wade_Dominguez,Bruklin_Harris,Mercello_Thedford,Roberto_Alvarez,Richard_Grant,Marisela_Gonzales,Toni_Nichelle_Buzhardt"
31,Twelve Monkeys,"In the year    convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities  But when Cole is mistakenly sent to   instead of    he's arrested and locked up in a mental hospital  There he meets psychiatrist Dr  Kathryn Railly  and patient Jeffrey Goines  the son of a famous virus expert  who may hold the key to the mysterious rogue group  the Army of the   Monkeys  thought to be responsible for unleashing the killer disease The future is history Mystery Sci-Fi Thrillerschizophrenia,philadelphia,cassandra_syndrom,stockholm_syndrome,time_travel,post-apocalyptic_future,dystopia,lethal_virus,monkey,cult_film,subterraneanTerry_Gilliam,Bruce_Willis,Madeleine_Stowe,Brad_Pitt,Christopher_Plummer,David_Morse,Jon_Seda,Christopher_Meloni,Joey_Perillo,LisaGay_Hamilton,Matt_Ross,Annie_Golden,Michael_Chance,H._Michael_Walls,Bob_Adrian,Bill_Raymond,Ernest_Abuba,Nell_Johnson,Rozwill_Young,Joseph_Melito,Frank_Gorshin,Aaron_Michael_Lacey,Vernon_Campbell,Simon_Jones,Carol_Florence,Irma_St._Paule,Frederick_Strother,Charles_Techman,Rick_Warner,Anthony_'Chip'_Brienza,Bruce_Kirkpatrick,Wilfred_Williams,Joilet_Harris,Drucie_McDaniel,John_Blaisse,Louis_Lippa,Stan_Kang,Pat_Dias,Felix_Pire,Karl_Warren,Joseph_McKenna,Stephen_Bridgewater,Ray_Huffman,Charley_Scalies,Paul_Meshejian,Kevin_Thigpen,Jann_Ellis,Michael_Ryan_Segal,Korchenko,Robert_O'Neill,Harry_O'Toole,Chuck_Jeffreys,Barry_Price,John_Panzarella,Janet_Zappala,Lisa_Talerico,Tiffany_Baldwin,C.J._Byrnes,Tom_Detrik,Joe_Gerety,Renee_Spei,Bonnie_Loev,Raymond_Mamrak,Allelon_Ruggiero,Thang,Sal_Mazzotta"
32,"Guillaumet, les ailes du courage","  Adventure Romance IMAX Jean-Jacques_Annaud,Craig_Sheffer,Elizabeth_McGovern,Tom_Hulce,Ken_Pogue,Ron_Sauvé,Val_Kilmer,Freddy_Andreiuci"
33,Babe,"Babe is a little pig who doesn't quite know his place in the world  With a bunch of odd friends  like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom  Babe realizes that he has the makings to become the greatest sheep pig of all time  and Farmer Hogget knows it  With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be A little pig goes a long way Children Dramaalarm_clock,cat,duck,sheep,pig,farm,affection,piglet,heroism,anthropomorphism,based_on_children's_book,dog,separation,farmer,grandson,sheepdog,talking_pigChris_Noonan,Christine_Cavanaugh,Miriam_Margolyes,Danny_Mann,Hugo_Weaving,Miriam_Flynn,James_Cromwell,Russi_Taylor,Evelyn_Krape,Michael_Edward-Stevens,Charles_Bartlett,Paul_Livingston,Roscoe_Lee_Browne,Magda_Szubanski,Zoe_Burton,Paul_Goddard,Wade_Hayward,Brittany_Byrnes,Mary_Acres,Debi_Derryberry,Maeve_Germaine"
34,Carrington,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey  Though Lytton is a homosexual  he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones  Eventually  Lytton and Dora decide to live together  despite the fact that the latter has fallen in love with military man Ralph Partridge  whom she plans to marry A Love so Unusual it has to be TrueDrama Romanceengland,painter,conscientious_objector,independent_film,soldier,polyamoryChristopher_Hampton,Emma_Thompson,Jonathan_Pryce,Steven_Waddington,Samuel_West,Rufus_Sewell,Penelope_Wilton,Janet_McTeer,Jeremy_Northam,Alex_Kingston,Richard_Clifford,David_Ryall,Stephen_Boxer,Peter_Blythe,Sebastian_Harcombe,Annabel_Mullion,Daniel_Betts"
35,Dead Man Walking,"A justice drama based on a true story about a man on death row who  in his last days  forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality  as she accompanies him to his execution  Crime Dramaprison,rape,nun,socially_deprived_family,penalty,death_penalty,despair,death_row,therapist,self-discovery,prison_cell,court_case,death_sentence,doomed_man,sentence,lethal_injection,forgiveness,charity,mercy_petition,rage_and_hate,unsociability,right_and_justice,court,cowardlinessTim_Robbins,Susan_Sarandon,Sean_Penn,Robert_Prosky,Raymond_J._Barry,R._Lee_Ermey,Celia_Weston,Lois_Smith,Scott_Wilson,Roberta_Maxwell,Margo_Martindale,Jack_Black,Ray_Aranha,Peter_Sarsgaard,Barton_Heyman,Steve_Boles,Nesbitt_Blaisdell,Larry_Pine,Kevin_Cooney,Clancy_Brown,Michael_Cullen,Missy_Yager,Jenny_Krochmal,Jon_Abrahams,Arthur_Bridgers,Steve_Carlisle,Eva_Amurri_Martino,Jack_Henry_Robbins,Dennis_Neal,Molly_Bryant,Adele_Robbins,Pete_Burris,Joan_Glover,Lenore_Banks,Scott_Sowers,Cortez_Nance_Jr.,Adam_Nelson,Jeremy_Knaster,Marcus_Lyle_Brown,Anthony_Michael_Frederick,Thomas_McGowan,Codie_Scott,Helen_Prejean,Miles_Robbins"
36,Across the Sea of Time,"A young Russian boy  Thomas Minton  travels to New York as a passenger on a Russian freighter  Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times  Thomas is searching for the family of one of his ancestors  who had emigrated decades ago  but once sent a letter home together with a sample of his new profession   D Photography  The boy follows his relative's traces by counter checking the old  D Photographs of New York  using an antique viewer  with the same places and how they look today  This way  the audience gets to see the Big Apple in former times as well as today  Documentary IMAX Stephen_Low,Peter_Reznick,John_McDonough,Avi_Hoffman,Matt_Malloy,Abby_Lewis,Victor_Steinbach,Peter_Boyden,Philip_Levy,Nick_Muglia,Luigi_Petrozza,Bernard_Ferstenberg,Robert_Buckley,Donald_Trump,Patrick_Flynn"
37,It Takes Two,"Identical   year olds from very different backgrounds  orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places    and play matchmaker between Alyssa's dad  Roger  and the kind social worker who cares for Amanda Two identical strangers  Two different worlds  One perfect match Children Comedymatchmaking,orphan,identical_twin,relationship_sabotageAndy_Tennant,Kirstie_Alley,Steve_Guttenberg,Ashley_Olsen,Mary-Kate_Olsen,Jane_Sibbett,Philip_Bosco,Michelle_Grisom,Desmond_Robertson,Tiny_Mills,Shanelle_Henry,Michèle_Lonsdale_Smith,Sean_Orr,Elizabeth_Walsh,Dov_Tiefenbach"
38,Clueless,"Shallow  rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale  Seeing herself as a matchmaker  Cher first coaxes two teachers into dating each other  Emboldened by her success  she decides to give hopelessly klutzy new student Tai a makeover  When Tai becomes more popular than she is  Cher realizes that her disapproving ex stepbrother was right about how misguided she was    and falls for him Sex  Clothes  Popularity  Is there a problem here Comedy Romancepuberty,high_school,make_a_match,spoiled_child,conflict,woman_director,gayAmy_Heckerling,Alicia_Silverstone,Stacey_Dash,Brittany_Murphy,Paul_Rudd,Donald_Faison,Elisa_Donovan,Breckin_Meyer,Jeremy_Sisto,Dan_Hedaya,Wallace_Shawn,Twink_Caplan,Justin_Walker,Sabastian_Rashidi,Herb_Hall,Julie_Brown,Susan_Mohun,Nicole_Bilderback,Ron_Orbach,Sean_Holland,Roger_Kabler,Jace_Alexander,Josh_Lozoff,Carl_Gottlieb,Joseph_D._Reitman,Anthony_Beninati,Micki_Duran,Gregg_Russell,Jermaine_Montell,Danielle_Eckert,Amy_Heckerling,Michael_Klesic,Sam_Maccarone,Monica_Eva_Foster"
39,"Cry, the Beloved Country","A South African preacher goes to search for his wayward son who has committed a crime in the big city  Dramabased_on_novel_or_book,south_africa,apartheid,priest,1940s,race_relationsDarrell_James_Roodt,James_Earl_Jones,Charles_S._Dutton,Jack_Robinson,Tsholofelo_Wechoemang,Ramalao_Makhene,Richard_Harris,Dolly_Rathebe,Jennifer_Steyn,Ian_Roberts,David_Clatworthy"
40,Richard III,"A murderous lust for the British throne sees Richard III  Ian McKellen  descend into madness  Though the setting is transposed to the  s  England is torn by civil war  split between the rivaling houses of York and Lancaster  Richard aspires to a fascist dictatorship  but must first remove the obstacles to his ascension    among them his brother  his nephews and his brother's wife  Annette Bening   When the Duke of Buckingham  Jim Broadbent  deserts him  Richard's plans are compromised I can smile  and murder while I smileDrama Warengland,kidnapping,murder,kingRichard_Loncraine,Ian_McKellen,Annette_Bening,Jim_Broadbent,Robert_Downey_Jr.,Kristin_Scott_Thomas,Adrian_Dunbar,Maggie_Smith,Tim_McInnerny,Edward_Hardwicke,Nigel_Hawthorne,Jim_Carter,Dominic_West,John_Wood,Roger_Hammond,Bill_Paterson,Donald_Sumpter,Michael_Elphick,Kate_Steavenson-Payne,James_Dreyfus,David_Antrobus,Christopher_Bowen,Edward_Jewesbury,Matthew_Groom,Ryan_Gilmore,Marco_Williamson,Tres_Hanley,Andy_Rashleigh,Denis_Lill,Bruce_Purchase,Madeleine_Mora,Stacey_Kent,Derek_Lyons"
41,Dead Presidents,"Depicts a heist of old bills  retired from circulation and destined by the government to be ""money to burn""  However  more broadly  it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States  during the  s In this daring heist  the only color that counts is greenAction Crime Dramapost_traumatic_stress__disorder,drug_abuse,war_veteran,vietnam,heist,money,loss_of_virginity,redemption,revolutinoary,mercy_killing,armored_truck,bronx,_new_york_city,medic,1960s,graphic_violenceAlbert_Hughes,Allen_Hughes,Larenz_Tate,Keith_David,Chris_Tucker,Freddy_Rodríguez,Rose_Jackson,N'Bushe_Wright,Clifton_Powell,Terrence_Howard,Bokeem_Woodbine,Clifton_Collins_Jr.,Elizabeth_Rodriguez,Michael_Imperioli,Cheryl_Freeman,James_Pickens_Jr.,Jenifer_Lewis,Ryan_Williams,Larry_McCoy,Rodney_Winfield,Sticky_Fingaz,David_Barry_Gray,Jaimz_Woolvett,Jean-Claude_La_Marre,Daniel_Kruse,Bernard_Telsey,Rik_Colitti,Carlton_Wilborn,Frank_Albanese,Monti_Sharp,Tony_Sirico,Robert_LuPone,Martin_Sheen,Isaiah_Washington,Chad_Bonsack,Michael_Carrara,Seymour_Cassel,Danny_Chung,Brian_Donahue,Collin_Fowler"
42,Restoration,"An aspiring young physician  Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King  Merivel joins the King's court and lives the high life provided to someone of his position  Merivel is ordered to marry his King's mistress in order to divert the queens suspicions  He is given one order by the king and that is not to fall in love  The situation worsens when Merivel finds himself in love with his new wife  Eventually  the King finds out and relieves Merivel of his position and wealth  His fall from grace leaves Merivel where he first started  And through his travels and reunions with an old friend  he rediscovers his love for true medicine and what it really means to be a physician An ordinary man  an irresistible offer  In a world of seduction and power  temptation has its price Dramajealousy,medicine,fountain,court,wealth,spaniel,gloves,17th_century,british_monarchyMichael_Hoffman,Robert_Downey_Jr.,Meg_Ryan,Sam_Neill,David_Thewlis,Hugh_Grant,Polly_Walker,Ian_McKellen,Ian_McDiarmid,Mary_MacLeod,Willie_Ross,Benjamin_Whitrow,Roger_Ashton-Griffiths,Andrew_Havill,Tony_Gardner,David_Ryall"
43,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand to hand battle against his mortal enemies  If he wins a tenth Mortal Kombat tournament  desolation and evil will reign over the multiverse forever  To save Earth  three warriors must overcome seemingly insurmountable odds  their own inner demons  and superhuman foes in this action adventure movie based on one of the most popular video games of all time Nothing In This World Has Prepared You For This Action Adventure Fantasysaving_the_world,martial_arts,monster,island,magic,alternate_dimension,ninja,gore,sorcerer,tournament,violence,based_on_video_game,gods,ghost,hand_to_hand_combat,mortal_kombatPaul_W._S._Anderson,Christopher_Lambert,Robin_Shou,Linden_Ashby,Cary-Hiroyuki_Tagawa,Bridgette_Wilson,Talisa_Soto,Trevor_Goddard,Chris_Casamassa,François_Petit,Keith_Cooke,Ed_Boon,Frank_Welker,Gregory_McKinney,Kenneth_Edwards,Peter_Jason,Lloyd_Kino,Steven_Ho,Sandy_Helberg,Daniel_Haggard,John_Fujioka"
44,To Die For,"Suzanne Stone wants to be a world famous news anchor and she is willing to do anything to get what she wants  What she lacks in intelligence  she makes up for in cold determination and diabolical wiles  As she pursues her goal with relentless focus  she is forced to destroy anything and anyone that may stand in her way  regardless of the ultimate cost or means necessary All she wanted was a little attention Comedy Drama Thrilleradultery,based_on_novel_or_book,winter,obsession,television,new_hampshire,mockumentary,narcissistic_personality_disorderGus_Van_Sant,Nicole_Kidman,Matt_Dillon,Joaquin_Phoenix,Casey_Affleck,Alison_Folland,Illeana_Douglas,Dan_Hedaya,Wayne_Knight,Kurtwood_Smith,Holland_Taylor,Susan_Traylor,George_Segal,Tim_Hopper,Michael_Rispoli,Buck_Henry,Gerry_Quigley,Conrad_Coates,David_Cronenberg,David_Collins,Janet_Lo,Kyra_Harper,Katie_Griffin,Chris_Phillips,Rain_Phoenix,Tamara_Gorski,Tom_Forrester,Maria_Tucci,Alan_Edward_Lewis,Nadine_MacKinnon,Ron_Gabriel,Ian_Heath,Graeme_Millington,Sean_Ryan,Nicholas_Pasco,Joyce_Maynard,Eve_Crawford,Tom_Quinn,Peter_Glen,Amber-Lee_Campbell,Colleen_Williams,Simon_Richards,Philip_Williams,Susan_Backs,Adam_Roth,Andrew_Scott,Carla_Renee,Mischa"
45,How to Make an American Quilt,"Soon to be wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her  In order to clear her head  Finn visits her grandmother  Hy  and great aunt  Glady Joe Cleary  in Grasse  Calif  There  Finn learns that Hy and Glady Joe are members of a group of passionate quilters  and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom There's beauty in the patterns of life Drama Romancewedding_vows,marriage_proposal,married_couple,monogamy,advice,marriage,quilt,love,family_holiday,extramarital_affair,grandmother,woman_directorJocelyn_Moorhouse,Winona_Ryder,Anne_Bancroft,Ellen_Burstyn,Kate_Nelligan,Jean_Simmons,Maya_Angelou,Alfre_Woodard,Dermot_Mulroney,Lois_Smith,Kate_Capshaw,Rip_Torn,Johnathon_Schaech,Samantha_Mathis,Joanna_Going,Esther_Rolle,Jared_Leto,Claire_Danes,Lecy_Goranson,Holland_Taylor,Tim_Guinee,Derrick_O'Connor,Loren_Dean,Melinda_Dillon,Richard_Jenkins,Denis_Arndt,Adam_Baldwin,Michael_McElroy,Ari_Meyers,Jane_Alden,Tamala_Jones,Rae'Ven_Larrymore_Kelly,Alicia_Goranson,Will_Estes,Mykelti_Williamson"
46,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next  The seasoned Det  Sommerset researches each sin in an effort to get inside the killer's mind  while his novice partner  Mills  scoffs at his efforts to unravel the case Seven deadly sins  Seven ways to die Mystery Thrillerself-fulfilling_prophecy,detective,s.w.a.t.,drug_dealer,evisceration,lust_and_impulsiveness,rage_and_hate,pride_and_vanity,immoderateness,insomnia,investigation,pension,police,serial_killer,neo-noirDavid_Fincher,Brad_Pitt,Morgan_Freeman,Gwyneth_Paltrow,Kevin_Spacey,R._Lee_Ermey,John_C._McGinley,Julie_Araskog,Mark_Boone_Junior,John_Cassini,Reg_E._Cathey,Peter_Crombie,Richard_Roundtree,Richard_Schiff,Hawthorne_James,Michael_Massee,Leland_Orser,Richard_Portnow,Daniel_Zacapa,Alfonso_Freeman,Harris_Savides,Andrew_Kevin_Walker,Richmond_Arquette,Pamala_Tyson,Emily_Wagner,Shannon_Wilcox,George_Christy,Endre_Hules,William_Davidson,Bob_Collins,Dominique_Jennings,Allan_Kolman,Gene_Borkan,Mario_Di_Donato,Harrison_White,Bob_Stephenson,Michael_Reid_MacKay,Lennie_Loftin,Martin_Serene,David_Correia,Lexie_Bigham,Evan_Mirand,Paul_Eckstein,Rachel_Flanagan,Heidi_Schanz,Brian_Evers,James_Deeth,Charles_A._Tamburro,Charles_S._Dutton,Arthur_Max"
47,Pocahontas,"Pocahontas  daughter of a Native American tribe chief  falls in love with an English soldier as colonists invade  th century Virginia An American legend comes to life Animation Children Drama Musical Romanceculture_clash,forbidden_love,colony,musical,gold_rush,princess,native_american,colonisation,virginia,star_crossed_lovers,intercultural_relationship,based_on_myths,_legends_or_folklore,17th_century,shamanism,animal_sidekickMike_Gabriel,Eric_Goldberg,Irene_Bedard,Mel_Gibson,David_Ogden_Stiers,John_Kassir,Russell_Means,Christian_Bale,Judy_Kuhn,Linda_Hunt,Danny_Mann,Billy_Connolly,Joe_Baker,Frank_Welker,Michelle_St._John,James_Apaumut_Fall,Gordon_Tootoosis,Jim_Cummings"
48,When Night Is Falling,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free spirited  liberal woman who works at a local carnival  Drama Romanceprofessor,lgbt,woman_directorPatricia_Rozema,Pascale_Bussières,Rachael_Crawford,Henry_Czerny,Don_McKellar"
49,The Usual Suspects,"Held in an L A  interrogation room  Verbal Kint attempts to convince the feds that a mythic crime lord  Keyser Soze  not only exists  but was also responsible for drawing him and his four partners into a multi million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors  Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess Five Criminals  One Line Up  No Coincidence Crime Mystery Thrillernew_york_city,law,suspect,relatives,flashback,police_corruption,theft,criminal,criminal_mastermind,hungarian,cargo_ship,mind_game,neo-noir,mystery_villainBryan_Singer,Stephen_Baldwin,Kevin_Spacey,Gabriel_Byrne,Chazz_Palminteri,Kevin_Pollak,Pete_Postlethwaite,Suzy_Amis,Giancarlo_Esposito,Benicio_del_Toro,Dan_Hedaya,Paul_Bartel,Carl_Bressler,Christine_Estabrook,Clark_Gregg,Morgan_Hunter,Louis_Lombardi,Frank_Medrano,Ron_Gilbert,Peter_Greene,Castulo_Guerra,Vito_D'Ambrosio,Gene_Lythgow,Smadar_Hanson,Christopher_McQuarrie"
50,Guardian Angel,"Detective   turned   bodyguard Cynthia McKay  Cynthia Rothrock  is hired by a psychotic icy seductress  Nina Lindell  Lydie Denier   the same woman who killed Mckay's lover months earlier   With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super rich as his protector   In a unique role reversal  it is the woman protecting the man from another woman  erupting into a deadly triangle of passion  suspense and action She's no angel of mercy Action Drama Thriller Richard_W._Munchkin,Cynthia_Rothrock,Marshall_R._Teague,Daniel_McVicar,Lydie_Denier,John_O'Leary,Art_Camacho,Robert_Miano"
51,Mighty Aphrodite,"When Lenny and his wife  Amanda  adopt a baby  Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too  But when he learns that Max's mother is Linda Ash  a kindhearted prostitute and porn star  Lenny is determined to reform her immoral lifestyle  A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy  Comedy Drama Romanceprostitute,adoption,adoptive_father,childlessness,looking_for__birth_parents,adoptive_mother,illegal_prostitution,childWoody_Allen,Woody_Allen,Mira_Sorvino,Helena_Bonham_Carter,F._Murray_Abraham,Donald_Symington,Claire_Bloom,Olympia_Dukakis,Michael_Rapaport,David_Ogden_Stiers,Jack_Warden,Peter_Weller,Danielle_Ferland,Paul_Giamatti,Tony_Sirico"
52,Lamerica,"Fiore  an Italian conman  arrives in post Communist Albania with Gino  his young apprentice  to set up a shoe factory that will never open  The con requires a native Albanian  so they designate Spiro  an impoverished and confused former political prisoner as chairman of the board  When Fiore returns to Italy to get government funds for the project  Spiro unexpectedly disappears and Gino sets out on a journey to find him  The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand  Adventure Dramaindependent_filmGianni_Amelio,Enrico_Lo_Verso,Michele_Placido,Piro_Milkani,Carmelo_Di_Mazzarelli,Elida_Janushi,Besim_Kurti,Marjeta_Ljarja"
53,The Big Green,"In a depressed Texas town  British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer  They're terrible at first  but Anna and her football hero assistant whip them into shape  As they work overtime  the pair help kids build their self esteem and also get involved in solving family squabbles The biggest kick of the year Children Comedysports,football_(soccer),woman_directorHolly_Goldberg_Sloan,Steve_Guttenberg,Olivia_d'Abo,Jay_O._Sanders,John_Terry,Bug_Hall,Jessica_Robertson,Patrick_Renna,Billy_L._Sullivan,Chauncey_Leopardi,Jordan_Brower,Hayley_Kolb,Haley_Miller,Ashley_Welch"
54,Georgia,"Sadie looks up to her older sister Georgia  a successful folk singer who's happily married with children  but can't break out of the bar band circuit and hit the big time she desperately covets  It's in part due to her attraction to drugs and booze  and also to her own unwise choice in men  Finally  though  Sadie's Achilles heel is a rough  unlovely voice very different than her sister's crowd pleasing singing The toughest act to follow was their dreams Dramasibling_relationship,alcohol,seattle,heroin,artist,music,singer,drugs,folk_singer,band,female_singer,sister_sister_relationshipUlu_Grosbard,Jennifer_Jason_Leigh,Mare_Winningham,Ted_Levine,Max_Perlich,John_Doe,John_C._Reilly,Jimmy_Witherspoon,Jason_Carter"
55,Kids of the Round Table,"Set in modern times  Alex finds King Arthur's sword Excalibur and must prove himself worthy of it  Adventure Children Comedy Fantasysword,merlin,king_arthur,excaliburRobert_Tinnell,Johnny_Morina,Malcolm_McDowell,Maggie_Castle,James_Rae,Michael_Ironside"
56,Home for the Holidays,"After losing her job  making out with her soon to be ex boss  and finding out that her daughter plans to spend Thanksgiving with her boyfriend  Claudia Larson has to face spending the holiday with her family  She wonders if she can survive their crazy antics We'll do it every year    until we get it right Dramagenerations_conflict,baltimore,thanksgiving,family_clan,family_conflict,woman_directorJodie_Foster,Holly_Hunter,Robert_Downey_Jr.,Anne_Bancroft,Charles_Durning,Claire_Danes,Dylan_McDermott,Geraldine_Chaplin,Steve_Guttenberg,David_Strathairn,Cynthia_Stevenson"
57,Il postino,"Simple Italian postman learns to love poetry while delivering mail to a famous poet  he uses this to woo local beauty Beatrice Dreams do come true Comedy Drama Romanceisland,letter,postman,naples,_italy,fisherman,poet,love,povertyMichael_Radford,Philippe_Noiret,Massimo_Troisi,Maria_Grazia_Cucinotta,Renato_Scarpa,Linda_Moretti,Mariano_Rigillo,Anna_Bonaiuto,Simona_Caparrini,Carlo_Di_Maio,Nando_Neri,Vincenzo_Di_Sauro,Orazio_Stracuzzi,Sergio_Solli,Alfredo_Cozzolino"
58,Le confessionnal,"The year is    in Quebec City  Rachel      unmarried and pregnant  works in the church  Filled with shame  she unburdens her guilt to a young priest  under the confidentiality of the confessional  In the present year of    Pierre Lamontagne has returned to Quebec to attend his father's funeral  He meets up with his adopted brother  Marc  who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the  s  Past and present converge in a complex web of intrigue where the answer to the mystery lies  Drama Mystery Robert_Lepage,Lothaire_Bluteau,Patrick_Goyette,Jean-Louis_Millette,Kristin_Scott_Thomas,Ron_Burrage,Suzanne_Clément"
59,The Indian in the Cupboard,"A nine year old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him  Adventure Children Fantasycupboard,toy,games,puppet,based_on_children's_book,parallel_world,toy_comes_to_life,toy_soldierFrank_Oz,Hal_Scardino,Litefoot,Lindsay_Crouse,Richard_Jenkins,Rishi_Bhat,Steve_Coogan,David_Keith,Sakina_Jaffrey,Vincent_Kartheiser,Nestor_Serrano,Frank_Welker"
60,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob  the monster who raped and murdered her   year old daughter What do you do when justice fails Drama Thrillerrape,gun,self-defense,grieving_parentsJohn_Schlesinger,Sally_Field,Kiefer_Sutherland,Ed_Harris,Beverly_D'Angelo,Charlayne_Woodard,Joe_Mantegna,Olivia_Burnette,Alexandra_Kyle,Keith_David,Philip_Baker_Hall,Natalija_Nogulich,Armin_Shimerman,Nicholas_Cascone,Darrell_Larson,Cynthia_Rothrock,Wanda_Acuna,Sierra_Pecheur,Donal_Logue"
